Item Name,Item Category/Brand,Regular Price,Sale Price,Total Sale Discount,Discount Ratio
Cotton Candy Ice Cream,Compliments,$4.79,$3.99,$0.80,0.1670
Light French Vanilla Ice Cream,Compliments,$4.79,$3.99,$0.80,0.1670
Neopolitan Ice Cream,Compliments,$4.79,$3.99,$0.80,0.1670
Rich Chocolate Ice Cream,Compliments,$4.79,$3.99,$0.80,0.1670
Vanilla Ice Cream,Compliments,$4.79,$3.99,$0.80,0.1670
Giuseppe Pizzeria Mini Pepperoni 8 Pack Pizza,Dr. Oetker,$7.19,$5.99,$1.20,0.1669
Balance Wild Blueberry Mini Yogurt Bars,Compliments,$6.49,$5.49,$1.00,0.1541
Frozen Spinach & Creamy Sauce Lasagna,Delices Complices,$6.79,$5.79,$1.00,0.1473
Caramel Ice Cream Bars,Magnum,$6.99,$5.99,$1.00,0.1431
Asana 3Pk Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Pure 3Pk Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Samourai Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Touk-touk Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Viva 3 Pk Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Yin Smoothie Cubes,Evive,$10.49,$8.99,$1.50,0.1430
Shoestring Fries,McCain,$4.99,$4.29,$0.70,0.1403
all-dressed Frozen pizza,Mikes,$9.29,$7.99,$1.30,0.1399
Chocolate Coated Vanilla Ice Cream Bars,So Delicious,$6.29,$5.49,$0.80,0.1272
Mocha Almond Fudge Frozen Desert,So Delicious,$6.29,$5.49,$0.80,0.1272
Salted Caramel Cashew Ice Cream,So Delicious,$6.29,$5.49,$0.80,0.1272
Cool Whip Vanilla Dessert Topping,Kraft,$3.99,$3.49,$0.50,0.1253
Artisanal Gluten Free Organic Bread,Cuisine L'Angelique,$7.99,$6.99,$1.00,0.1252
Baguette Gluten Free Organic Bread,Cuisine L'Angelique,$7.99,$6.99,$1.00,0.1252
Extra Classic Poutine,MS3Food - Like at the Restaurant,$7.99,$6.99,$1.00,0.1252
Patisserie Lemon Meringue Pie,Dr. Oetker,$7.99,$6.99,$1.00,0.1252
Salted Caramel Cheesecake,Dr. Oetker,$7.99,$6.99,$1.00,0.1252
Strawberry Cheesecake,Dr. Oetker,$7.99,$6.99,$1.00,0.1252
Wildberry Cheesecake,Dr. Oetker,$7.99,$6.99,$1.00,0.1252
Breakfest Potato Pancakes,McCain,$4.29,$3.79,$0.50,0.1166
Savory Wedges,McCain,$4.29,$3.79,$0.50,0.1166
Org Granola Bread,Cuisine L'Angelique,$8.29,$7.49,$0.80,0.0965
Mango Frozen Fruit,Compliments,$10.99,$9.99,$1.00,0.0910
Vanilla Chocolate Temptation Ice Cream,Sensations,$5.99,$5.49,$0.50,0.0835
Whole Strawberries,Compliments,$10.79,$9.99,$0.80,0.0741
Lentil & Walnut Burger,Vegetarian Gourmet,$8.49,$7.99,$0.50,0.0589
5 Minutes Superfries,McCain,$3.99,$3.79,$0.20,0.0501
Broche Blueberry Ice Cream Brioche,La Chagnon,$9.99,$9.49,$0.50,0.0501
Carmel Fudge Ice Cream,La Chagnon,$9.99,$9.49,$0.50,0.0501
Coconut Ice Cream Log,La Chagnon,$9.99,$9.49,$0.50,0.0501
